state,year,wage_precarity,informality,casual_share,self_reg_ratio,ILMSI
Puducherry,2025,0.975448336390704,47.3,15.5,1.1684191259326213,67.15447244926246
Punjab,2022_23,0.9261314090969671,74.7,21.5,0.7901593768146903,87.42226504700557
Punjab,2023_24,0.9712079631610773,73.0,19.1,0.7998302606835497,86.32856477178787
Punjab,2025,1.0540075879028807,75.0,19.3,0.75162400861049,91.5173058423859
Rajasthan,2022_23,0.8565201583555201,77.3,13.9,1.2061545746406725,73.69036983632338
Rajasthan,2023_24,0.7755400423967285,75.0,12.5,1.4894065484251489,64.42341380206938
Rajasthan,2025,0.7108883598546548,75.9,13.6,1.7242958711096938,60.100115545286634
Sikkim,2022_23,0.976341097743811,52.7,8.1,1.9752342307281825,52.917984996610876
Sikkim,2023_24,0.7380901476705413,53.9,7.5,2.79821084339457,32.4654856729838
Sikkim,2025,0.8484250096905601,42.6,7.1,1.9167037366548045,42.82216583021489
Tamil Nadu,2022_23,0.8021200655338651,65.7,32.7,1.2185711826256624,82.61921859895722
Tamil Nadu,2023_24,0.9305868610256495,63.7,31.3,1.4848198116034552,82.57329988706374
Tamil Nadu,2025,0.8609849425118037,63.0,26.5,1.38724715851639,76.30324452012351
Telangana,2022_23,0.6329832770061964,71.5,17.2,1.2149233492582459,64.42120866828893
Telangana,2023_24,0.6702047522450384,69.5,18.7,1.2416436775613033,66.0878745677307
Telangana,2025,0.6725508917443496,69.8,20.8,1.2154708694974272,68.50530634979545
Tripura,2022_23,0.7859690312545811,69.1,25.4,1.2910622706339894,76.10362904344858
Tripura,2023_24,0.7474473820142712,70.5,25.3,1.7427635684474678,69.32061862616467
Tripura,2025,0.9940388827265475,64.1,26.9,1.2508662096322167,84.50440677245385
Uttar Pradesh,2022_23,0.5690620186690707,84.6,16.0,2.1429269122021632,54.84015215142668
Uttar Pradesh,2023_24,0.8544918934194965,84.1,14.9,1.504240633421906,73.78271768122711
Uttar Pradesh,2025,0.8490954816348958,85.2,17.7,1.4516198923586943,77.18226569409701
Uttarakhand,2022_23,0.6792390096098259,67.3,9.8,1.511077348419154,54.232649222724284
Uttarakhand,2023_24,0.8210920268328522,62.3,12.2,1.4380928840432512,61.036020834926305
Uttarakhand,2025,0.8036067954755512,63.3,13.2,1.4382405117176311,61.624901897791794
West Bengal,2022_23,1.0491046809373203,80.2,24.1,0.9548378466075017,95.31953594960217
West Bengal,2023_24,0.812768813433496,79.3,23.1,1.5649356131860412,76.3349200960369
West Bengal,2025,0.795824107767212,78.5,22.4,1.5551694434333179,74.76332501715748
